cedulaRemitente,cedulaDestinatario,peso,tipoContenido,numGuia,codigoOficina,,,,,
37898563423,345667335678,2000,prenda de vestir,RTY657,CHA98765,Chapinero,Carrera 7 #43-23 ,Bogota,MAR25294,Marly
345667335678,37898563423,5000,calefactor electrico,OPQ456,TEU65356,Teusaquillo,Carrera 40 #24-23 ,Bogota,LAM9735,Las Americas
30367825533,54110617861,6536,Prenda de vestir,JYF387,USA34563,Usaquen,Calle 134 #15-23 ,Bogota,LAC9805,La Calleja
21571725585,68686165189,8959,Nevera,JGY476,SUB23954,Suba,Calle 145 #92-10 ,Bogota,MOR8521,Morato
88288425383,42752076851,880,Consola PS4,NHG334,BOG4441,Bogota,Carrera 56- #12-34,Bogota,USA34563,Usaquen
10741534,7531294426,2860,Computador HP,MMJ768,MAR25294,Marly,Carrera 13 #49-12,Bogota,MAR1235,Marly sector 2
8698943991,2144908119,1348,Libros,BYY900,PAR25295,Pardo Rubio,Transversal 3#42-12,Bogota,PAR1236,Pardo Rubio sector 1
1698980043,6034855761,7501,Cinturones,NHT123,QCA9885,Quinta Camacho,Carrera 9 # 69-34,Bogota,QCA4600,Quinta Camacho sector 3
30367825533,54110617861,10897,TV,RHO501,CSA7381,Ciudad Salitre,Transversal 22 # 55-34,Bogota,CSS2378,Ciudad Salitre suroriental
88288425383,54110617861,880,Consola PS4,NUY720,ALA2589,Alamos,Diagonal 87 # 89-86,Bogota,ALA22590,Alamos Centro
8698943991,30367825533,1348,Libros,BYY906,SUB23954,Suba,Calle 145 #92-10 ,Bogota,MOR8521,Morato
37898563423,6034855761,7501,Cinturones,NHT345,FON45294,Fontibon,Calle 17 #96-13 ,Bogota,HAY4278,Hayuelos
30367825533,54110617861,2001,prenda de vestir,RTY658,SUM34567,Sumapaz,Carrera 2 # 116-34,Bogota,EUV8345,El Uval
88288425383,54110617861,5001,calefactor electrico,OPQ457,ENG65943,Engativa,Calle 67 # 80-34,Bogota,ALA2589,Alamos
8698943991,30367825533,6537,Prenda de vestir,JYF388,CHA98765,Chapinero,Carrera 7 #43-23 ,Bogota,CHA8245,Chapinero Alto
37898563423,6034855761,8960,Nevera,JGY477,TEU65356,Teusaquillo,Carrera 40 #24-23 ,Bogota,QPA9745,Quinta Paredes
88288425383,42752076851,881,Consola PS5,NHG335,USA34563,Usaquen,Calle 134 #15-23 ,Bogota,BEL9815,Bella Suiza
10741534,7531294426,2861,Computador HP,MMJ769,SUB23954,Suba,Calle 145 #92-10 ,Bogota,NIZ8522,Niza
8698943991,2144908119,1349,Libros,BYY901,CHA98765,Chapinero,Carrera 7 #43-23 ,Bogota,BOC9345,Bosque Calderon
1698980043,6034855761,7502,Cinturones,NHT124,BOG4441,Bogota,Carrera 56- #12-34,Bogota,FON45294,Fontibon
37898563423,345667335678,10898,TV,RHO502,USA34563,Usaquen,Calle 134 #15-23 ,Bogota,BEL9815,Bella Suiza
